Tenant,program name,stage name,stage order,status,task name,task order,timeEstimate,description,Action 1,Action 2,desiredoutcomes,timeExpectations
Super Life Group,New Agent School,Week 3 Onboarding,3,Published,Start Week 3: Field Training Basics,1,About 10 minutes,Learn how field training helps you build confidence.,Watch Now,,,
Super Life Group,New Agent School,Week 3 Onboarding,3,Published,Qualify your list of names for marketing,2,About 45 minutes,Profile your leads with MACHO traits and connection levels.,Start Qualifying,,,
Super Life Group,New Agent School,Week 3 Onboarding,3,Published,Practice your script for extending invitations,3,About 5 minutes,"Use the ETHOR approach to invite without pressure or over-explaining — call, don't text.",Rehearse Now,Schedule Roll Play,,
Super Life Group,New Agent School,Field Training,4,Published,Complete Field Training,1,1-2 weeks,Finish 10 field training appointments with your trainer.,Watch the Client Experience,Take Notes,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 1,2,About 1 hour,Schedule and complete a ,Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 2,3,About 1 hour,"Observe silently; learn flow, take notes, debrief after.",Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 3,4,About 1 hour,"Observe silently; learn flow, take notes, debrief after.",Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 4,5,About 1 hour,"Observe silently; learn flow, take notes, debrief after.",Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 5,6,About 1 hour,Co-lead sections; capture data; trainer supports and coaches.,Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 6,7,About 1 hour,Co-lead sections; capture data; trainer supports and coaches.,Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 7,8,About 1 hour,Co-lead sections; capture data; trainer supports and coaches.,Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 8,9,About 1 hour,Co-lead sections; capture data; trainer supports and coaches.,Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 9,10,About 1 hour,Run full meeting; trainer observes; debrief; schedule next steps.,Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Field Training,4,Published,Appointment 10,11,About 1 hour,Run full meeting; trainer observes; debrief; schedule next steps.,Add Client Name,Add Trainer Name,,
Super Life Group,New Agent School,Earn First $1K,5,Published,Create predictable income as an agent,1,About 30 minutes,Build your system for generating high-quality leads.,Set Goals,Create Weekly Schedule,,
Super Life Group,New Agent School,Earn First $1K,5,Published,Fill the funnel,2,About 1 hour,"Learn how to generate, qualify, and convert leads systematically",Review Marketing Lists,Add Call Blocks,,
Super Life Group,New Agent School,Earn First $1K,5,Published,Life & Annuity Target Personas,3,About 30 minutes,Find your ideal clients so you know who to talk to—and what to say.,Choose Personas,,,
Super Life Group,New Agent School,Earn First $1K,5,Published,Working With Your Warm Network,4,About 30 minutes,Work with your friends and family to kickstart your agency.,Review Contacts,Write ICP Attributes,,
Super Life Group,New Agent School,Earn First $1K,5,Published,Sources for Building Marketing Lists,5,About 1 hour,Understand sources for building marketing lists cost-effectively.,Watch Now,Build a Cold List,,
Super Life Group,New Agent School,Earn First $1K,5,Published,"Stop burning  cash, focus on ROI ",6,About 30 minutes,Learn how ROI works and how to earn more from every lead you buy or develop.,Enter Marketing Expenses,,,
Super Life Group,New Agent School,Earn First $1K,5,Published,Building your production pipeline.,7,About 30 minutes,"Production cases progress through 6 stages, step by step.",Add 3 Cases,,,
Super Life Group,New Agent School,Earn First $1K,5,Published,Driving to close,8,About 30 minutes,"Disciplines and techniques to uncover impact, drive urgency and close deals faster.",Call Stalled Clients,Check Pending Deals,,
